Borrowers,Categories,Lenders,Time of Loan Execution,Term of the Loan,External Reviewer,Loan Amount,Currency,Sustainability Performance Targets,Characteristics of the loan,Reporting Policy
KURABO INDUSTRIES LTD. ,Manufacturing,"The Hyakujushi Bank, Ltd.","February, 2024",ー,114 Economic Research Institute,ー,ー,Reduction of the Kurabo Group's CO2 emissions in Scope 1 and Scope 2,"A mechanism has been set up to check the achievement status of SPTs on an annual basis in principle, and to reduce interest rates according to the level of achievement.","Annually, until the fulfillment of obligations is completed, the status of achievement of SPTs will be checked in the prescribed form."
"Nakatsuyama Netsusyori Co., Ltd",Manufacturing,"Daishi Hokuetsu Bank, Ltd","February, 2024",ー,Daishi Hokuetsu Research & Consulting.Ltd.,ー,billion yen,Sales amount of carbonized fibers,"In principle, a mechanism has been set up to check the achievement status of the SPT on an annual basis and reduce the interest rate according to the level of achievement.","Once a year, Daishi Hokuetsu Research & Consulting will report on the status of SPT achievement based on client information. Disclosure of the reporting information is at the discretion of the client."
"Azami growing farm
(あざみ育成場)","Food, Beverages, Tobacco, etc.","The Gunma Bank,Ltd.","February, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,"Reduce greenhouse gas emissions as a percentage of sales by 2.7% each fiscal year, starting in September 2024.",The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
IGUCHI ISSEI CO. LTD.,Others (including service industry),"The Gunma Bank,Ltd.","February, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,"Reduce greenhouse gas emissions by 2.7% per year based on March 31, 2023",The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Osawa
(オオサワ)",Others (including service industry),"The Gunma Bank,Ltd.","February, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,"Introduce at least one next-generation vehicle* each year and achieve a 50% introduction rate.
*Next-generation vehicles include fuel cell vehicles, electric vehicles, natural gas vehicles, hybrid vehicles, plug-in hybrid vehicles, and clean diesel vehicles.",The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Komatsu sharyo industry
(小松車輌工業)",Others (including service industry),"The Gunma Bank,Ltd.","February, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from June 2023 level,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Seimo yakuhin
(西毛薬品)",Wholesale and retail trade,"The Gunma Bank,Ltd.","February, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,"Introduce at least one next-generation vehicle* each year and achieve a 50% introduction rate.
*Next-generation vehicles include fuel cell vehicles, electric vehicles, natural gas vehicles, hybrid vehicles, plug-in hybrid vehicles, and clean diesel vehicles.",The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Terra.Co.,Ltd",Wholesale and retail trade,"The Gunma Bank,Ltd.","February, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,"From FY2024/3 onward, introduce at least one next-generation vehicle* per quarter and maintain an introduction rate of at least 85%.
*Next-generation vehicles include fuel cell vehicles, electric vehicles, natural gas vehicles, hybrid vehicles, plug-in hybrid vehicles, and clean diesel vehicles.",The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"MUGEN ESTATE Co., Ltd.",Real estate and construction,"The Gunma Bank,Ltd.","February, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,"Reduce greenhouse gas emissions per 100 million yen of consolidated net sales by 5.1% per year, starting from the FY2021/12 baseline.",The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
TOKYU CORPORATION,Transportation,TAIYO LIFE INSURANCE COMPANY,"February, 2024",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,"Reduce CO2 emissions of Tokyu Corporation and its consolidated subsidiaries (on a total volume basis, Scope 1&2) by 46.2% in FY2030 (compared to FY2019)",Preferential interest rate spread based on SPT achievement,"Tokyu plans to disclose to investors the progress of KPI performance after the end of each fiscal year. Tokyu plans to obtain an independent third-party assurance report on the progress of the SPT at least once a year until the date of determination, and report it on the Tokyu website or to the lender."
"Toatsu
(東圧)",Real estate and construction,"North Pacific Bank,Ltd.","February, 2024",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,"Number of pressure welding locations using the ""polymer natural gas pressure welding method (EcoSpeed method),"" an environmentally friendly method of welding reinforcing steel bars.
 【Target for each fiscal year】
FY2024：79,000 locations
FY2025：86,000 locations
FY2026：93,000 locations
FY2027：101,000 locations",Interest rates vary depending on whether the pre-set SPT is achieved or not,"It plans to report to The North Pacific Bank at least once a year in writing or on its website regarding its performance in relation to the KPIs of the Loan. At that time, it plans to obtain third-party verification of SPT performance from an external institution and report the details of such verification as well."
"KI-STAR Real Estate Co., Ltd.",Real estate and construction,THE SHIGA BANK，LTD．,"February, 2024",ー,"Rating & Investment Information, Inc.　",ー,ー,"① Reduce GHG emissions (Scope 1 + Scope 2) intensity of buildings sold by 33.6% in FY2030 compared to FY2022 (year ending March 31, 2023).
② Reduce GHG emissions (Scope 3 (Category 11)) intensity of buildings sold by 29.6% in FY2030 compared to FY2022 (year ending March 31, 2023).","At the time of the loan agreement, the loan holder chooses between a donation to a qualified donor if one of the SPTs is not achieved, or a reduction in the loan interest rate if both are achieved.",Report annually to lenders on the status of achievement of SPTs and post on its website.
Industrial & Infrastructure Fund Investment Corporation,Finance (including REITs),The Norinchukin Bank,"February, 2024",8 years,"Rating & Investment Information, Inc.　※",3,billion yen　,Reduce GHG emissions (Scope 1+2) by 42% by 2030 (compared to 2021),"The SPTs are checked annually for achievement, and the incentive design is such that upon achievement, the interest rate is reduced for the next applicable interest rate period. The interest rate reductions upon achievement are not cumulative, and if the SPTs are not reached, the interest rate is returned to its initial level.","Over the term of the loan, the borrower shall report annually to the front office of The Norinchukin Bank on reports describing the status of achievement of SPTs and the results of verification regarding the actual performance of KPIs, in accordance with the terms and conditions of the Agreement on the Norinchukin SLL."
Industrial & Infrastructure Fund Investment Corporation,Finance (including REITs),The Norinchukin Bank,"February, 2024",9 years,"Rating & Investment Information, Inc.　※",4,billion yen　,Reduce GHG emissions (Scope 1+2) by 42% by 2030 (compared to 2021),"The SPTs are checked annually for achievement, and the incentive design is such that upon achievement, the interest rate is reduced for the next applicable interest rate period. The interest rate reductions upon achievement are not cumulative, and if the SPTs are not reached, the interest rate is returned to its initial level.","Over the term of the loan, the borrower shall report annually to the front office of The Norinchukin Bank on reports describing the status of achievement of SPTs and the results of verification regarding the actual performance of KPIs, in accordance with the terms and conditions of the Agreement on the Norinchukin SLL."
Industrial & Infrastructure Fund Investment Corporation,Finance (including REITs),The Norinchukin Bank,"February, 2024",10 years,"Rating & Investment Information, Inc.　※",3,billion yen　,Reduce GHG emissions (Scope 1+2) by 42% by 2030 (compared to 2021),"The SPTs are checked annually for achievement, and the incentive design is such that upon achievement, the interest rate is reduced for the next applicable interest rate period. The interest rate reductions upon achievement are not cumulative, and if the SPTs are not reached, the interest rate is returned to its initial level.","Over the term of the loan, the borrower shall report annually to the front office of The Norinchukin Bank on reports describing the status of achievement of SPTs and the results of verification regarding the actual performance of KPIs, in accordance with the terms and conditions of the Agreement on the Norinchukin SLL."
"Eikyu
(栄久)",Others (including service industry),"The Gunma Bank,Ltd.","February, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from June 2023 level,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Fuyo General Lease Co., Ltd.",Finance (including REITs),"(Arranger:MUFG Bank, Ltd.）The Ashikaga Bank, Ltd.,The Bank of Okinawa, Ltd, THE SAN-IN GODO BANK,LTD., The Hachijuni Bank,Ltd., MUFG Bank, Ltd.","February, 2024",5 years,"Rating & Investment Information, Inc.",35,billion yen　,"(1) CO2 reduction contribution in FY2025 (year ending March 31, 2026): 420,000 t-CO2/year or more
(2) Human resource development-related expenses (non-consolidated) in FY2025 (fiscal year ending March 31, 2026) will be 263% or more of the FY2021 level.","(1) Step up/down of interest rate
(2) Donation","Fuyo General Lease plans to announce or disclose the following information to lenders on its website on an annual basis. 
- Latest actual results related to KPIs 
- Progress on SPTs 
- Information on the issuer's latest sustainability strategy related to the KPIs and SPTs 
- If SPTs have not been achieved and donations have been made, the recipients of the donations, the amount of the donations, and the timing of the donations"
TAISEI CORPORATION,Real estate and construction,"Resona Bank,Ltd.","February, 2024",ー,"Rating & Investment Information, Inc.　",ー,ー,"Achieve a Leadership Level (A, A-) on the CDP Climate Change Score","It is designed to check the achievement of the SPT based on the actual KPI performance in FY2026 and, if achieved, to reduce the interest rate from then on until repayment.","The results of the evaluation of the CDP Climate Change Score, a KPI, will be disclosed once a year on the CDP's website. Upon receipt of such disclosure, TAISEI CORPORATION will notify the lender of the achievement status of the SPT by the end of the month following the disclosure each year."
TAISEI CORPORATION,Real estate and construction,"MUFG Bank, Ltd.","February, 2024",ー,"Rating & Investment Information, Inc.　",ー,ー,"Achieve a Leadership Level (A, A-) on the CDP Climate Change Score","It is designed to check the achievement of the SPT based on the actual KPI performance in FY2026 and, if achieved, to reduce the interest rate from then on until repayment.","The results of the evaluation of the CDP Climate Change Score, a KPI, will be disclosed once a year on the CDP's website. Upon receipt of such disclosure, TAISEI CORPORATION will notify the lender of the achievement status of the SPT by the end of the month following the disclosure each year."
TAISEI CORPORATION,Real estate and construction,"Sumitomo Mitsui Trust Bank, Limited","February, 2024",ー,"Rating & Investment Information, Inc.　",ー,ー,"Achieve a Leadership Level (A, A-) on the CDP Climate Change Score","The SPT is designed to check the achievement of the SPT each year after FY2024, increasing the interest rate if the SPT is not achieved and subsequently reducing it to the original rate if it is achieved.","The results of the evaluation of the CDP Climate Change Score, a KPI, will be disclosed once a year on the CDP's website. Upon receipt of such disclosure, TAISEI CORPORATION will notify the lender of the achievement status of the SPT by the end of the month following the disclosure each year."
TAISEI CORPORATION,Real estate and construction,The Norinchukin Bank,"February, 2024",ー,"Rating & Investment Information, Inc.　",ー,ー,"Achieve a Leadership Level (A, A-) on the CDP Climate Change Score","The SPT is designed to check the achievement of the SPT each year after FY2024, increasing the interest rate if the SPT is not achieved and subsequently reducing it to the original rate if it is achieved.","The results of the evaluation of the CDP Climate Change Score, a KPI, will be disclosed once a year on the CDP's website. Upon receipt of such disclosure, TAISEI CORPORATION will notify the lender of the achievement status of the SPT by the end of the month following the disclosure each year."
KANKYO　STATION　CORPORATION,Real estate and construction,"The Gunma Bank,Ltd.","February, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from the FY2023/12 baseline,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"RICOH LEASING COMPANY, LTD.",Finance (including REITs),"The Chiba Bank, Ltd.、The Chugoku Bank, Ltd、THE SHIGA BANK，LTD．（Co-financing through individual contracts）","February, 2024",ー,"Rating & Investment Information, Inc.",ー,ー,"Maintain Leadership Level (A, A-) on CDP Climate Change Score","Funding interest rate terms and conditions are linked to Ricoh Leasing's achievement of SPT, which acts as an incentive to achieve SPT.","Ricoh Leasing discloses the KPI scores as of the last day of each fiscal year (March 31) and information that may affect the achievement of the SPT (e.g., setting and updating sustainability strategies, formulating and implementing the action plan, etc.) as environmental and social activity results on its website annually."
"Chimura
（ちむら）","Food, Beverages, Tobacco, etc.","THE TOTTORI BANK, LTD","February, 2024",ー,"Rating & Investment Information, Inc.　※",ー,ー,Reduction in the number of products discarded,"The incentive design is such that interest rates are reduced when SPTs are achieved. The interest rate reductions upon achievement are not cumulative, and if the SPTs are not reached, the interest rate is increased by a level equal to the reduction.","Once a year over the term of the loan, the borrower will report to the sales office the actual results of KPIs that show the achievement of SPTs and the results of verification by a third-party professional organization as a report."
"JA MITSUI LEASING, LTD.",Finance (including REITs),"The Chukyo Bank, Ltd","February, 2024",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,"① Targets for each fiscal year from FY2025 onward for cumulative renewable energy-related investments and loans by the company and its Group companies to reach 500 billion yen in FY2030 
(Actual result: 56 billion yen in FY2021) 
【Targets】 
FY2025: 250 billion yen 
FY2026: 300 billion yen 
FY2027: 350 billion yen
FY2028: 400 billion yen 
FY2029: 450 billion yen 
FY2030: 500 billion yen
②Targets for each fiscal year after FY2025 (compared to FY2021) for a 50% reduction in greenhouse gas emissions (Scope 1 and Scope 2) by FY2030 for the Company and domestic Group companies 
【Targets】 
FY2025 40%
FY2026 42%
FY2027 44% 
FY2028 46%  
FY2029 48%
FY2030 50%",Arrangements are in place to change financial characteristics based on the achievement of SPTs.,"Information that may affect KPI performance/SPTs achievement and details of emission credits purchased or donated, reported only to the loan lender"
"Japan Investment Adviser Co., Ltd.",Others (including service industry),"Daishi Hokuetsu Bank, Ltd","February, 2024",ー,Daishi Hokuetsu Research & Consulting.Ltd.,ー,ー,"Ratio of female managers to be 15.0% or more by the end of March 2024, and 20.0% or more by the end of March 2025.","Japan Investment Adviser is required to report in writing to Daishi Hokuetsu Bank by the reporting deadline on its progress in meeting the SPTs. If Daishi Hokuetsu Bank confirms that it has met the target figures, the interest rate applicable to the loan period will be reduced.","Japan Investment Adviser is required to report to Daishi Hokuetsu Bank once a year on the status of its achievement of the SPTs, and to submit to Daishi Hokuetsu Bank in writing by the SPTs reporting deadline materials that confirm its achievement of the SPTs, after verification by an independent third party, Daishi Hokuetsu Research & Consulting."
"SEIBU RAILWAY Co., Ltd.",Transportation,Development Bank of Japan Inc.  ,"February, 2024",ー,ー,11,billion yen,Reduce Seibu Railway's CO2 emissions (Scope 1 and 2) by at least 46% in FY2030 compared to FY2018,"SPT achievement status is linked to lending conditions, etc.",An update on the progress and achievement of performance related to the SPT will be reported to the DBJ on an annual basis.
