"Title","Created","LastEdited","Agency","Description","ProblemBy","ProblemOf","Status","Votes","ID"
"Wheelchair users","2013-12-12 11:45:43","2024-04-14 16:53:57","Statistics New Zealand","How many people in NZ are suffering from mobility impairments?

How many people in NZ rely upon powered wheelchairs to get on with their activities of daily Living?

How many people are not prescribed powered wheelchairs at all, either because they are physically unable to control the chair using a conventional interface, or because they are deemed incapable of driving safely?
","","The University of Waikato is considering to develop a prototype of mind controlled wheelchair and we would like to know the actual demand for this type of rehabilitative device.","Agency responded","81","181"
"Motorcycle registrations","2013-11-19 09:19:18","2018-05-16 10:28:54","New Zealand Transport Agency","I would like to know the top 10 motorcycle models and brands imported new and used into NZ","allow us to provide the best solutions to the industry.","To better serve the new and used motor cycle parts supply .","Agency notified","80","177"
"Waikato Liquefaction Shapefile","2013-12-02 10:02:01","2015-10-16 13:17:37","Waikato Regional Council","Is it possible to send me a shapefile showing the areas of liquefaction risk in the Waikato please?  We need this are part of our readiness preparation to help us assess the risks to WEL's electrical distribution network throughout the Waikato Region.

Kind regards
Roger Oed
Asset Information Manager
WEL Networks Ltd","","Assess risk to the electrical network","Agency responded","77","179"
"Cell tower sites","2011-09-16 09:27:44","2024-05-02 12:51:24","Ministry of Business innovation and Employment","GPS coordinates of all cell tower sites in NZ.","Plotting cell towers visually for punters with mobile devices","Using geolocation on AGPS and GPS/APGS devices.  Mapping data on HTML5 geolocation web pages/sites.

Geolocation is an area of increasing interest - cell towers are an important part of this.","Agency responded","76","53"
"Historical weather observations","2013-07-22 11:36:38","2024-03-28 09:07:40","National Institute of Water and Atmospheric Research Limited","Would like to see the release of all previous year's weather observations (wind, temp, humidity, rain etc) for all weather stations owned by any government agency. To be available to download in an open file format. ","","understanding of the environment & to help businesses to make better decisions. ","Agency notified","76","158"
"RAPID number database","2011-05-13 10:50:49","2024-04-11 20:04:13","New Zealand Fire Service Commission","The RAPID number database contains the mapping of RAPID rural addressing numbers.","By releasing the RAPID addressing database (e.g. RAPID number + lat/long) this would enable the data to be included in GPS navigation map sets such as the free nzopengps.org","Navigating to rural proprerties via GPS can be a challenge.","Dataset already listed","75","21"
"Bulk sale price data for individual houses","2014-07-13 09:55:50","2023-12-16 04:25:50","Quotable Value Limited","Bulk sale price data for all house sales in New Zealand, along with any other supporting data e.g.: method sold (auction/etc), number bedrooms, bathrooms, size sqm, land size etc. This data should be available as a bulk feed/API, supporting historical queries and returning all available data.","giving access to house purchasers, through direct access or publication by any interested party.","Having access and being able to easily find house sale price data for a variety of analysis and visualisations. House purchasers have little access to compare the histories of house sales without paying significant amounts of money.

Other countries have much better access to this data than New Zealand (e.g.: Zillow in the US) for free. This data is part of the public record and allowing bulk access will bring NZ into line with other countries.","Agency responded","75","203"
"Average Annual Daily Traffic for all roads in New Zealand","2018-03-13 13:36:45","2024-04-12 12:56:49","NZ Transport Agency","Average Annual Daily Traffic count data for all of New Zealand
Ideally, the dataset would include all NZ roads (NZTA managed roads plus roads managed by local councils and alliances)

Each road controlling authority is required to manage and make available AADT statistics for planning purposes - it would be far better to have a single nationalised dataset.","Allowing roadworks planners the ability to look up the road level for any road in NZ and understand the impact their work may have as well as the level of traffic management required without conducting a site visit or making individual requests to the Road Controlling Authority. 

Allowing consenting and auditing software to show the required level of traffic management required to both applicants and consenting officers.  ","Knowing what level of traffic management is required for specific worksites.","Agency notified","72","337"
"New Zealand Geologic shapefile","2014-04-22 01:55:01","2023-07-05 22:10:38","Institute of Geological and Nuclear Sciences Limited","I am looking for a geologic shapefile of this country showing the basic geologic structure and units and the spatial coordinates.","","This is a home study project","Agency notified","72","190"
"Location of all places issued a sale of alcohol licence","2014-06-19 16:39:32","2022-10-08 20:29:53","Ministry of Justice","Information including the actual street address where all alcohol licences have been issued too. XLS format would be perfect. 

With this list it will be possible to map and therefore visually see the true impact of how many licences are issued around various parts of the country","Providing enough data to perform Geo mapping of the locations and therefore mashing the data with other things","Not being able to see where all licences have been issued","Agency responded","70","200"
"Public Holidays in CSV/XLXS format","2018-04-12 11:56:33","2024-04-12 12:56:11","Ministry of Business Innovation and Employment","Current there is a Public Holidays Dataset, but only available as PDF. Could this dataset also be made available as CSV or XLSX or potentially another format (REST API JSON) that could be digested by software. We synchronize our internal system with public holidays, and presently its a manual process. Would love to be able to write some software that makes a automated call (perhaps once a year) to update our data ","","as Above in description","Agency responded","69","342"
"2011 General Election results by age group","2014-03-20 09:28:25","2022-05-17 23:31:34","Electoral Commission","Results for each electorate from the 2011 General Election, broken down by age groups (~5years).","","Allow people to analyse how different age groups are voting in different areas. ","Agency responded","69","184"
"New Zealand Fire Service Localities GIS Data","2015-01-13 09:06:24","2020-08-07 02:56:26","New Zealand Fire Service Commission","Dear New Zealand Fire Service Commission,

I am requesting the Localities GIS data from your agency.  I would like this data in gis format (shapefile or esri filegeodatabase).  The dataset is mentioned on these official New Zealand Government websites if you need clarification as to what data I am requesting:
https://data.govt.nz/datasetrequest/show/4
 <ul>
<li>http://www.waikatoregion.govt.nz/Environment/Environmental-information/REDI/1175142/</li>
 <li>http://www.ombudsman.parliament.nz/system/paperclip/document_files/document_files/885/original/179451_-_request_for_nz_localities_dataset.pdf?1413915614</li>
 </ul>
I look forward to your response.

Yours faithfully,

Justin","having a good baseline dataset that has current up to date information","a up to date gis dataset for all localities (LINZ and koordinates have either outdated data or data at a level below or above this level of detail)","Agency responded","68","226"
"Parliament Membership History","2023-06-09 11:51:33","2024-04-12 12:30:26","Parliamentary Service","Currently names of the Members of Parliament before 1996 are not in an accessible database.","Giving the public the names of MPs before 1996 easily.","Making this data accessible to the public will solve the issue of finding MPs from before 1996.","Agency notified","66","918"
"Outstanding Infringement/Fines ","2014-05-20 13:52:48","2021-04-06 20:35:55","New Zealand Police","I am working current on a mobile app that allows you to see your outstanding infringement notices/fines searchable by registration or licence number. The app also allows the using to chech their demerit points. So the dataset I am looking for should include fine information and demerit points. The data format required is csv. ","reduce the overall adminstration and  advertising cost.  ","decreasing the current amount of outstatnding fines owed to government.","Agency responded","66","196"
"High Risk Intersections","2014-03-26 21:21:42","2024-04-12 13:03:33","New Zealand Transport Agency","Please provide this as a CSV.

http://www.nzta.govt.nz/resources/high-risk-intersections-guide/docs/high-risk-intersections.pdf

It would be useful if an additional field of GPS co-ordinates was added.","Data can be extracted into maps, for display on websites, for inclusion in navigation products (e.g. get a warning on your GPS navigator that a dangerous intersection is coming up). It would increase the visibility of this data","Current format is PDF, text heavy, table, not easily readable, or useful to regular people.","Dataset already listed","64","185"
"Property sale transaction data.","2016-02-29 12:32:11","2024-04-29 15:24:38","Quotable Value Limited","Property sale transaction data. This would include the type of property, the sale price, sale date, size of dwelling and section, number of bedrooms, bathrooms. Ideally this would be made available as an API, however it could simply be released in a csv format.


 

","This would improve transparency in the property market. It would enable buyers and sellers to make more informed decisions about the value of a property before making or accepting an offer.

Opening up this information would also allow analysis by journalists and individuals parties. Currently much of the information about the property market comes from real estate agents who have a vested interest to talk the market up.","Lack of transparency in the market.

Balance information in the marketplace that is currently dominated by those with a vested interest, for example real estate agents and banks.","Agency notified","63","271"
"FarmsOnLine - GIS Layer(s) for Landuse","2011-05-17 15:17:12","2022-11-21 11:56:05","Ministry for Primary Industries","GIS files containing land use as collected and held by the FarmsOnLine web map portal

https://farmsonline.maf.govt.nz/

This is information sourced from the public domain (physical location, land use and LINZ title information).","Releasing this data would allow us to improve on it at a local level. 

Releasing the data would also allow innovative re-use to encourage economic growth.","Currently we hold no information on horticultural land use in our region.  We would like to plan for growth in this area.","Agency responded","63","22"
"Duration of Primary Teaching Careers in New Zealand","2014-02-17 12:38:09","2015-10-19 10:55:45","Ministry of Education","For example, total numbers of teachers  (primary or secondary) registered each year, duration of employment as a teacher/principal teacher, how many are actively employed currently within each NZ region, how many teachers have allowed their  Certificate of Registration to lapse. If also possible/recorded, how many have emigrated, have retired, or have resigned or resigned under a constructed dismissal.  Comma separated List format. ","Allowing researchers to access relevant data. ","The mystery regarding our nation's supposed teacher shortage.
The planning (ie. effective planning) for teaching student intakes each year.
The placement of qualified teachers in areas in which teachers seem to avoid.","Dataset already listed","63","183"
"demand of electricity ","2014-04-24 08:58:26","2016-04-26 08:32:27","Electricity Authority","monthly in different cities in NZ","","compare it with electricity supply and try to make cleaner electricity ","Agency responded","63","191"
"Parking locations and tariffs in Auckland","2014-05-14 16:31:04","2016-05-08 09:59:23","Auckland Council","A list of all paid and free parking facilities in Auckland with any unique identifier and corresponding tariff rates. 
E.g.
Queen's Street 
Slot No  Type    Duration    Tariff   Restrictions
 001       Free    30 mins      Free    Type A
 002      Free     30 mins      Free     Type A
010       Paid     60 mins       P1      Type D


Excel format 
","Providing access on mobile or portable devices to easily access information. In future it could also enable users to view what is available on a real-time basis.","Developing a system that will enable easy access to parking information for Auckland drivers reducing time to find parking and choose best option available. Will reduce time to park and better utilisation of parking resources.","Agency responded","63","193"
"NZ Historic Places Trust Register","2011-04-06 14:39:18","2024-04-10 11:25:52","Heritage New Zealand Pouhere Taonga","NZHPT is required to maintain a register of historic places. Currently they charge $300/year which is prohibitive for mashups or casual access. The intention of the original legislation is that the register is a public record, not a revenue stream.

http://www.legislation.govt.nz/act/public/1993/0038/latest/DLM300674.html
""The Register shall be open for public inspection during usual business hours at the principal office of the Trust in Wellington and at regional offices of the Trust.""

However, in 2011, such data should be 100% online under a permissive copyright license.

Unfortunately, the data the NZHPT is currently published under a restrictive copyright license allowing only for personal use.
http://www.historic.org.nz/en/TermsConditions.aspx","Allowing prospective tenants and developers easy access to historical places data. Enable developers, especially of mobile apps, to create fascinating and useful tours and increase awareness of heritage buildings.","Enable fascinating cultural and historical mashups, tours, facilitate awareness of built heritage, streamline RMA processes.","Agency notified","62","5"
"Road Accidents involving non NZ license holders","2014-04-18 11:32:20","2015-10-19 10:58:04","New Zealand Transport Agency","Hi, would like to know if data is collected for all road accidents in New Zealand involving drivers with foreign or international drivers licenses and if possible their country of origin.","","I am doing a degree level statistics paper and have noticed (especially in Northland where I live) the amount of fatalities involving foreign drivers lately.  I think also, that the NZ public deserve to know the impact of these drivers on the NZ people, not only socially but also the cost to taxpayers through ACC.","Agency responded","61","188"
"Number of Tongan children born between 2009- 2013 living in Tawa and Porirua ","2014-05-15 14:36:51","2018-05-31 12:37:53","Statistics New Zealand","Number of Tongan children born between 2009- 2013 living in the Tawa and Porirua area and how many have enrolled with a Early Childhood Service. ","We will be able to provide statistics to support our proposal to the Ministry of Education and can identify the number of Tongan children under 5yrs old living in the Tawa and Porirua area who are not enrolled in early childhood service. ","We are pushing forward to start an Early Childhood Service here in Porirua targeting the Tongan children under 5 years. In order to submit a proposal to the Ministry of Education we need statistics to support our proposal. ","Agency responded","61","194"
"Machine readable list of all current MPs","2014-07-17 11:15:52","2024-04-12 13:02:29","Parliamentary Service","A simple list of who is a MP right now.

Name, Party, electorate.

In a machine readable format - not pdf or html.

XML, json, or csv.
","allowing automation of data analysis, for all parliament data involving MPs.
","Any one working on analysis and records of parliament has to import data manually, and maintain it themselves on every change.
There is a RSS feed, but it only shows the first 20 alphabetically. 
http://www.parliament.nz/en-nz/syndication?posting=/en-nz/mpp/mps/current/
","Agency responded","61","204"
"Licensed vehicles from 2004 to 2013","2014-04-03 17:54:13","2015-10-19 10:57:11","Ministry of Transport","Hi I am a year 13 student and I am doing an assignment on licensed vehicles from 2004 to 2013 for statistic internal. I have tried to find an appropriate data to write a report on it, but I could not find any. Therefore, I would like you to send me or tell me about the data I have been talking about. Thank you very much and if you can offer me it would be very appriciated.","","Statistic internal 3.8","Dataset already listed","60","186"
"LUCAS Land Use V003 and earlier","2014-04-16 10:58:31","2021-05-31 11:10:16","Ministry for the Environment","I would like to have LUCAS Land use data from before 1990, to as early as 1960.  It is for a class I am currently teaching - Advanced GIS applications","allowing us to detect changes over time in the use of the land surrounding the wetland systems in the Manukau Harbour.","I am working with a student to map the change in wetland area in the Manukau Harbour, the land use data prior to 1990 will show how landuse has changed in the area..  we will also be using aerial photos.","Agency responded","60","187"
"List of accredited employer for Accredited Employer Work Visa (AEWV)","2022-10-12 22:42:35","2024-03-20 08:37:59","Ministry of Business Innovation and Employment","A list of companies which completed accreditation for hiring migrant via Accredited Employer Work Visa.
","Acknowledge migrant potential employers who could sponsor for work and possibly extend their length of stay in New Zealand. This would also help the migrant workers verify if the employers offering them permanent job offer are indeed accredited.","Previously, the list of accredited employers was published in the NZ Immigration website. However, when the AEWV scheme was launched, the list was no longer available.","Agency responded","59","817"
"Accredited employers","2022-09-26 17:02:49","2024-03-12 15:01:08","Ministry of Business Innovation and Employment","Could I please get an updated list of accredited employers","Allowing to see our options and upskilling New Zealand’s staff shortage problem","Finding my husband a job to get an AEWV","Agency notified","57","796"
"Deaths by all cause in nz","2022-10-05 09:09:29","2022-10-14 09:04:09","Health Research Council of New Zealand","Deaths by all causes from 2016 to 2022
","Provide transparency ","Eliminate mis information  ","Agency notified","54","805"
"Real time API data","2013-02-17 12:03:33","2023-05-30 13:42:49","Auckland Transport","The real time data that is collected from buses, trains and ferrys from across the Auckland region and is displayed on the real time information panels at various locations","","Allow third parties to use the data to build apps and web sites to show the real time location of public transport in Auckland","Agency notified","53","135"
"Statistics on Stillbirths, Preterm Labour,  Malformations and Adverse Health Outcomes pre and post Pfizer Vaccination roll out. March2019 - Current date","2021-12-16 15:50:22","2022-10-13 20:24:54","Ministry of Health","I request the statistics on the above rates. Information to be included: How many of these mothers were vaccinated with Pfizer during pregnancy. Is there any correlation between these outcomes and vaccinated mothers? -- Has there been a increase in stillbirths, preterm labour, malformations and adverse health outcomes since the rollout of the Pfizer vaccination. 
","Sharing and not withholding this information creates trust that you are providing all information without biases. ","This would provide supportive evidence to give informed consent for pregnant mothers who are considering a vaccination. It is not enough to just say ""Its is safe.""","Agency responded","53","704"
"All cause Mortality 2017-2022 ","2022-09-18 00:26:58","2022-11-23 11:48:48","Ministry of Health","Details of the number of deaths each year  from 2017-2022 for male and female  by age band. ","Being able to justify to clients the likely rate increase so they are able to budget future insurance increases","I am trying to complete a life insurance paper on the increasing claims trend over this period of time and accessing the likely rise in premium risk","Agency responded","50","791"
"All cause mortality death rates in NZ","2022-10-06 09:30:56","2023-02-28 13:57:29","Ministry of Health","The figures of deaths in NZ on a monthly data set going back 5 years. ","Helping personal understanding and form my leadership in the community","As a pastor trying to understand what I am observing in terms of increased death rates. ","Agency responded","44","809"
"School Zones","2011-04-07 02:57:49","2023-11-07 20:02:55","Ministry of Education","The MOE School Zones outline the enrolment zones for schools in New Zealand.","","- Being able to use the data to mash up with other datasets to create compelling data visualisations.

- Allowing more people to view the zones and report issues with the data (The zone file has lots of small errors in it)

- Reducing the reliance on schoolzones.co.nz which is often offline and is a very old and unfriendly website to use.


Third parties could build better tools on top of the existing data exposing it to more users. This is especially relevant to property websites. 

The dataset is currently tightly controlled by a third party commercial provider and we would like to see this managed by the MOE more closely. The dataset is also updated every week by MOE but only released every three months. Also when this data has been OIA requested the data is out of date immediately (http://koordinates.com/layer/743-nz-school-zones-sept-2010/) and this is not a good thing as people may rely on old data to make decisions. 

Having this data as a free, open dataset would allow sites to keep up-to-date versions easily accessible by their users.
","Dataset added","43","10"
"All deaths data nz","2022-10-05 08:36:55","2022-10-14 09:04:26","Privacy Commissioner","The actual numbers of deaths recorded in nz from all causes from 2016 to now. 
Broken down into age groups. 
Cause of death ie suicide, influenza, vehicle accident, heart, cancer etc
Clear formats that can be easily emailed in a concise manner. ","Providing clear and accurate figures shows this government has integrity to be open and honest","This will show that the government is Open to honest transparency as promised in the elections","Agency notified","43","804"
"Anonymized Vehicle Sales (transaction) data","2013-07-10 02:52:57","2015-10-29 16:32:28","New Zealand Transport Agency","Anonymized Vehicle Sales (transaction) data as per forms MR13A/MR13B detailing:

vehicle sale amount
vehicle sale date
vehicle sale location/town
vehicle reg.
vehicle manufacture date
vehicle odometer
vehicle make
vehicle model
vehicle transmission type
","","enable accurate vehicle worth for buying/selling.","Agency responded","42","154"
"Deaths by all Cause Mortality for New Zealand","2022-10-04 14:44:26","2024-01-22 09:33:58","Statistics New Zealand","All cause mortality in NZ up to August 2022.","Being able to counter the loss - using effective (by research) preventative measures - and widespread Bio Nano Tech Detox treatments.","Why there has been circa 220,000 deaths this year. Normal would be 1% of the population 50,000.

Why worldometer is now showing NZ's population to be 4,910,249, whereas in March 2022 it was 5,127,100 (NZ Statistics). That is a drop of 216,851. 

Normally there would be a net gain of around 50,000.

So this loss is troubling. I have calculated net loss against a predicted (normal) gain is around 5.7%.

I think most of these deaths are related to the so called vaccines. We have been expecting based on our research and what is actually happening in the rest of the world is mass deaths relating to the experimental mRNA ""vaccines"", via ADE or VAIDS. ADE is Antibody Dependent Enhancement, which was a hidden risk from the Pfizer trials (ie no one was told of the 8,800 reported adverse side effects), as documented in the Pfizer Document Dump. Also this monitoring data shows that 5.7% of the trial participants died. Now I do not believe in co-incidences, but this excess deaths we are seeing is also 5.7%. These are deaths within 90 days of the first ""vaccine"". ","Agency notified","41","798"
"Locations & details of traffic incidents","2011-06-30 08:23:12","2023-07-15 06:49:15","New Zealand Police","The Police (and/or the NZTA or Ministry of Transport) have detailed statistics on roading incidents in the country.

It would be excellent if New Zealand could have a similar map to this one for British Colombia: http://bit.ly/kqe3DZ

Please make the locations, type of incident (e.g. drink driving, etc) and speed of the vehicle for traffic offences available. These details would be sufficient to produce detailed maps & further analysis without compromising individuals' privacy.","Facilitating more information being disseminated to the public in a manner which they can understand.","People lacking an understanding of the spatial patterns of driving offences. All the public hears via the media are generic statements about risk.

Being able to make that more specific will lead to more fine-grained understanding of the risk. This could aid compliance and produce greater confidence.","Agency responded","41","33"
"Public holiday and anniversary dates in XML or CSV","2017-08-31 12:11:25","2024-02-29 15:39:00","Ministry of Business, Innovation and Employment","We are looking for the holidays dates that you currently publish in a machine readable format such as xml or a csv downloadable file. this is to load into a telephony service. ","having a consistent data set that can be automated ","having inaccurate data due to human intervention needed when creating a customers phone system. ","Agency notified","41","322"
"Request download of all NZ Post Codes","2021-06-13 17:43:10","2024-05-21 13:36:53","New Zealand Post Limited","Can you please send me all the NZ Post Codes with a corresponding area they relate to. If they could be separated into RD as well that’s even better","","Able to better respond to Customer requests","Agency notified","41","628"
"Excess mortality ","2022-10-07 08:26:39","2023-02-28 13:57:10","Ministry of Health","All documents with data relating to excess mortality in the from heart and respiratory illnesses from the 2012-2022","Understanding the way influenza works and it’s seasonal ups and downs ","Flu season declined with SARS COV-2 infection it would be good to know by how much.","Agency responded","37","811"
"List of Accredited Employers in New Zealand Immigration","2022-09-18 20:00:38","2024-04-27 16:56:03","Ministry of Business Innovation and Employment","I need to get a list of Accredited Employers in New Zealand Immigration","Providing information ","Looking for employers to apply for jobs in New Zealand","Agency notified","36","792"
